Month,Dining,Transportation,Grocery,Online Shopping,Online Services,Housing,Everything else
2021-01,NaN,NaN,NaN,NaN,35,1427.54,NaN
2021-02,NaN,NaN,NaN,NaN,35,1427.54,NaN
2021-03,NaN,NaN,NaN,NaN,35,1427.54,NaN
2021-04,NaN,NaN,NaN,NaN,35,1427.54,NaN
2021-05,NaN,NaN,NaN,NaN,35,0,NaN
2021-06,NaN,NaN,NaN,NaN,35,0,NaN
2021-07,NaN,NaN,NaN,NaN,35,0,NaN
2021-08,NaN,NaN,NaN,NaN,35,1376.95,NaN
2021-09,NaN,NaN,NaN,NaN,35,1376.95,NaN
2021-10,NaN,NaN,NaN,NaN,35,1376.95,NaN
2021-11,NaN,NaN,NaN,NaN,35,1376.95,NaN
2021-12,NaN,NaN,NaN,NaN,35,0,NaN
2022-01,NaN,NaN,NaN,NaN,35,1325.62,NaN
2022-02,NaN,NaN,NaN,NaN,35,1325.62,NaN
2022-03,NaN,NaN,NaN,NaN,35,1325.62,NaN
2022-04,NaN,NaN,NaN,NaN,35,1325.62,NaN
2022-05,NaN,NaN,NaN,NaN,35,0,NaN
2022-06,NaN,NaN,NaN,NaN,35,0,NaN
2022-07,NaN,NaN,NaN,NaN,35,0,NaN
2022-08,NaN,NaN,NaN,NaN,35,1480.32,NaN
2022-09,NaN,NaN,NaN,NaN,35,1480.32,NaN
2022-10,NaN,NaN,NaN,NaN,35,1480.32,NaN
2022-11,NaN,NaN,NaN,NaN,35,1480.32,NaN
2022-12,NaN,NaN,NaN,NaN,35,0,NaN
2023-01,NaN,NaN,NaN,NaN,35,1352.76,NaN
2023-02,NaN,NaN,NaN,NaN,35,1352.76,NaN
2023-03,NaN,NaN,NaN,NaN,35,1352.76,NaN
2023-04,NaN,NaN,NaN,NaN,35,1352.76,NaN
2023-05,NaN,NaN,NaN,NaN,35,0,NaN
2023-06,NaN,NaN,NaN,NaN,35,0,NaN
2023-07,NaN,NaN,NaN,NaN,35,0,NaN
2023-08,108,125,284,NaN,35,1442.43,NaN
2023-09,152,134,265,NaN,35,1442.43,NaN
2023-10,84,107,319,NaN,35,1442.43,NaN
2023-11,143,119,242,NaN,35,1442.43,NaN
2023-12,167,142,273,NaN,35,0,NaN

