Month,Dining,Tuition,Transportation,Grocery,Online Shopping,Online Services,Housing,Everything else
2021-01,0,0,0,52,0,0,0,
2021-02,0,0,0,28,150,0,0,
2021-03,83,0,0,0,0,0,0,
2021-04,112,0,0,0,0,0,0,
2021-05,67,0,0,0,0,0,0,
2021-06,129,0,0,0,0,0,0,
2021-07,54,0,0,0,0,0,0,
2021-08,98,0,0,0,0,0,0,
2021-09,50,38412,813,213,59,0,0,
2021-10,0,0,56,300,128,0,0,
2021-11,0,0,57,241,190,0,0,
2021-12,0,0,49,186,0,0,0,
2022-01,67,37458,68,286,0,0,0,
2022-02,129,0,58,253,36,0,0,
2022-03,83,0,54,194,0,0,0,
2022-04,98,0,53,249,76,0,0,
2022-05,234,0,749,150,35,0,0,
2022-06,420,0,10,59,0,0,0,
2022-07,562,0,10,24,47,0,0,
2022-08,537,0,768,35,0,0,0,
2022-09,112,38467,6,128,150,0,0,
2022-10,129,0,21,137,250,0,0,
2022-11,120,0,0,112,33,0,0,
2022-12,142,0,15,145,143,0,0,
2023-01,105,38467,10,119,25,0,0,
2023-02,138,0,17,103,43,0,0,
2023-03,135,0,13,133,0,0,0,
2023-04,114,0,19,146,108,0,0,
2023-05,51,37562,68,234,70,0,392,
2023-06,64,0,43,276,39,0,385,
2023-07,49,0,59,195,107,0,394,
2023-08,75,0,734,248,0,0,399,
2023-09,548,0,100,29,120,0,370,
2023-10,572,0,100,68,0,0,384,
2023-11,514,0,100,14,0,0,399,
2023-12,536,0,792,48,0,30,400,
